,Review,Polarity,Subjectivity
1035,"The film is more or less a remake of part IV. The villain is pale in comparison to the other villains we saw before. Why he is wearing a mask is not obvious and is totally useless. The crowd in the cinema laughed at the final reveal of the face, an emotion the director of the film hasn't planned for that scene. The whole overall story is so useless and boring I can't believe that has passed the quality control. The film was watchable up to a certain point on a bridge in the converter building. After that it was over for me. I won't go into details but how in the hell could they do that? Is this the Star Wars for the New Age? Forget that for me then. All in all uninspiring and boring with great but no many overblown special effects. More a mishmash of Harry Potter, Lord of the Rings and old Star Wars....Last but not least: who came up with the names? What was that villains name? Snoke? Snake? Snape? Doesn't care a lot for it.....",-0.0044702123273551745,0.4556699649556792
480,This was so disappointing - it was just a remake of the original. The special affects were terrible. It really is a Harvard business study on hype and marketing.,-0.1335714285714286,0.6442857142857144
4599,"This is the start of the reboot/continuation of the series, and it's a lot of fan pandering but not much of a good story. We see old characters and get's introduced to new ones, but it's kinda meh.",-0.03787878787878787,0.4181818181818182
2991,"There are a few ways to look at this new addition to the STAR WARS Universe, the seventh in the series, and this time in the proper sequence.",-0.02121212121212122,0.21818181818181817
1452,"what a vomit and a disgrace to the Star Wars movies .... total disaster! cheap and ugly actors with no acting skills, no action, stupid story: same as the first Star was movie 30 years ago. ",-0.11249999999999999,0.5010416666666667
1262,I would give it a score of 1 out of 10 if not for the old casts making appearances. First I'm not sure why the main characters don't seem to have any relevance to the story?? If not because of the massive marketing done by star wars had i base my perception on the trailer i wouldn't have spent a single cent to pay to watch this parody. ,-0.0880952380952381,0.5087301587301587
2819,"A deserved Billion Dollar movie? Absolutely not. A deserved Record Breaking movie? Again, not a chance.",-0.1,0.9
1491,"""Huh? That's it!? Really!?"" That was my first line walking out the cinema after watching TFA... Betrayed, cheated, hyped, brainwashed. Mixed feelings. Just like back in 1999... But this time worst... Much worst! Even TPM first scene wasn't in a desert planet or with a Star Destroyer in the background (A vulgar ""homage"" to the OT)... I really don't want to point out what others have already said: A rehash, A New Hope 2.0, Death Star 3.0 (Unbelieavle) Jar Jar Finn, awful and forgettable villain (Even Hayden Christanssen was even more charismatic than this guy), a non-existent John Williams score. Every point is a terrible truth. Hard to imagine but it is...",-0.20325311942959,0.5360516934046345
113,I waited for it come out on home rental markets; for that I am grateful I had the foresight to do so. I WAS BORED OUT OF MY FRIGGIN' MIND!!!.,-0.9765625,1.0
783,How is this movie ranking 8.6 on IMDb when majority of reviews are negative? How? ,-0.3,0.4
1738,"This movie is so awful that i will not waste too much time or electricity on this review. The characters are awful and there are so many stupid plot holes which only a low IQ audience can withstand without developing a brain tumor mid-movie. It was for this reason i could not bear to finish the entire movie, after forwarding a lot of bits in the first 40 min, at the 1 hour mark, me and my wife simply turned off the TV and went out to the garden go detoxify. The entire time we were genuinely cursing at the movie.",-0.10384615384615385,0.5723443223443223
393,I don't have words. 2 words actually.Copy/Paste. I watched this movie 10 times now and it became increasingly worse with each viewing. ,-0.4,0.6
4721,"It was that bad, bland and boring!",-0.6222222222222221,0.8333333333333334
1906,"It's been a long time awaited movie, expectations were high but the result was (at least for me) a disappointment.",-0.1975,0.43499999999999994
2574,"Star Wars: The Force Awakens was an auditory and visual masterpiece. Unfortunately it was ruined by poor acting, poor actor choice, and a story that felt rushed and didn't make much sense when taking into account the previous movies and the lore of the series as a whole. ",-0.13333333333333336,0.37083333333333335
5032,"I usually just ignore IMDb reviews because usually they're terrible, but I have to say the reviews for The Force Awakens in particular seem to have been written by a bunch of mindless idiots that couldn't even be bothered to offer an original thought about what they liked or didn't like about it and just came in here to post some hyperbole nonsense about why you shouldn't waste your time with this film because it didn't live up to their expectations after reading several hundred books.",-0.1292699724517906,0.5075757575757576
457,"Looks like The plot of this movie was written by a five years old child, nothing makes sense, the series is sinking to a new low, if they are going to do another movie better look out TV writers, look what they are doing in Game of thrones for example, can not understand what is happening with the studios, it is like the goal is make dumb movies for dumb audiences, what a swam song for Star Wars, the new actors are OK, sorry for the veterans, the all seems completely out of place, advise to the people which has not seen the movie yet, look the episode IV, this one is the same but without all the aspects which made the first Star Wars movie great,all and all a very disappointing movie.",-0.05051948051948053,0.4698160173160173
