,Review,Polarity,Subjectivity
1007,"From the opening epilogue about a trade embargo (yawn) to the awful CGI and overuse of green screen which means none of the actors are looking where they are supposed to, this is still by far the worst film in the series. The whole story is dull and enough has been said about JarJar already. See Peter Serafinowicz (who did Darth Mauls voice) take online for the funniest and most accurate breakdown of the whole travesty.",-0.10916666666666663,0.6233333333333333
785,"...I can no longer say that ""The Phantom Menace"" is my least favorite Star Wars movie. There's still a lot about TPM that I don't care for, but at least it felt like it belonged in the Star Wars Universe. ""Ruin"" Johnson's TLJ film reflected his audacity and abuse of carte blanche (no thanks to Kathleen Kennedy and Disney) to just make it up as HE wanted with no respect for the Star Wars continuity and canon.",-0.049999999999999996,0.49999999999999994
2382,"After 3 years I finally managed to sit thru the whole movie. I stopped watching the movie the first time at the pod chase because I could not just bear to listen to Jar Jar anymore. Lucas should be flogged for ruining a movie and wasting money like that. Yes it's true Lucas has used children's characters like the Ewoks, but nothing in any movie by any director I have ever seen is ANNOYING as having to listen to Jar Jar. He doesn't even make sense. You just pick out a few words from each sentence cause that's all that makes sense. It distracts from the whole movie. Ewoks were for the kiddies but they just squealed or whatever. Jar Jar is by far the worst character ever.",-0.1,0.6425925925925926
3261,"A solid film, with several big problems. Firstly Jar Jar is the most irritating character in cinema history (well, at least since Chris Tucker's last film role). This kind of brain-damaged Teletubbie-esque amphibian is obviously aimed at the kiddies, and makes all but the least cynical of adults grind their teeth with hate. But the kids in the cinema seemed to like him, and that's all that matters.",-0.08076923076923077,0.4615384615384616
2480,"An average rating of 8? Are you kidding me? Phantom Menace has some of the worst dialogue ever..I don't understand how the actors kept straight faces saying some of the things they did.  Even with the prodigious acting talent of Neeson and McGregor, the lines still came off sounding completely ridiculous.  And the character of Jar Jar...just that alone ruined the movie for me.  I was even a little insulted by the stereotype the character seemed to portray. not only does Jar Jar stereotype black people, the viceroys were a nasty stereotype of asians, and Anakin's owner, the shop-keeper, was an offensive characterization of latin people.  George Lucas' style of directing and his falir for screenwriting is completely dated, and so is Star Wars.  I will say the special effects were amazing, which saves the movie from being a complete waste of money.",-0.12002551020408161,0.5717687074829932
564,"Lightsaber may have been a lamp for a child who didn't see star wars when he was young, but it left a sacred position in my heart, just like Altman, let alone I'm stupid, everyone has such a piece of land in their heart.",-0.175,0.475
2422,"Right now there is a flood of negative comments about this film, even among SW fans. I'd just like to take a moment to refute several points made by TPM's detractors:",-0.004761904761904763,0.3119047619047619
3339,"It's embarrassing to watch how such a respected director, can release something badly made as this, yes it's entertaining, but the acting is bad, and most of all, what is worst is the animations, that are terrible, especially for it's time, there is one scene that looks like the background of windows 98, but with lower resolution and heart out in to it.",-0.2666666666666666,0.6703703703703704
2396,I can't possibly describe how awful this movie is. Let's make a list:,-0.5,1.0
1850,"Here are all the things wrong with this movie: It's too kiddified, Jar jar is annoying, there's too much FX, there's no story, the acting is bad, etc, etc, etc.  All of these criticisms are stupid.",-0.4333333333333333,0.611111111111111
1787,Both boring and dull!,-0.6822916666666667,0.75
1297,"Ok so I know a lot of you hate The Last Jedi and I certainly ain't gonna argue with you guys on that but it certainly is better than this steaming pile of Gungan dudu no matter how you slice it. If George Lucas had some kind of coherent story arc for how Anakin Skywalker turned to the dark side we didn't need to sit through 2 hours and 13 minutes of kid Vader going through his child banter, quips and going has.
Visually this is not good either. For a guy who was waiting for the technology to catch up to his vision the CGI here looks worse than either Terminator 2 or Jurassic Park.
Well we all collectively hate Jar Jar Binksso let's not even bother going into what a disaster he was. The Gungans were awful and the pod race as pointless as the Harry Potter quidditch match.
Darth Maul was cool as was the political intrigue around Senator Palpatine.
This was a hot mess and a poor start to a trilogy we'd waited 20 years for. It only gets a six rating from me cause of Darth Maul and some of the performances in it.",-0.0705357142857143,0.5756547619047618
3012,It's such a flawed film that it really is hard to believe that this is the same creator who made the original trilogy that has (and maybe always will) stand the test of time.,-0.08333333333333334,0.4833333333333333
3330,"Let me begin by saying that I have seen all the other currently released Star Wars movies. However, when I sat down to watch Episode 1, I was unable to sit all the way through it! It seemed so boring, and the inclusion of Jar Jar Binks did not help it, either. It was thoroughly uninspiring. Episode 2, however, was different...",-0.3175925925925926,0.5273148148148149
2034,"I don't need to watch this movie to know it sucks. Anything remotely related to Star Wars is incredibly boring and about as much fun as removing your own kidney with a blunt steak knife. It's just a show for little boys (or older boys who haven't grown up yet as is so often the case) who are impressed by light sabres and lasers and other such pathetic imaginary weapons. If I were given a choice between death and a Star Wars marathon, the former would be a shoe-in.",-0.011217948717948721,0.5621794871794872
1233,"Oh yes, this is the worst prequel and needless to say the worst Star Wars film overall . George Lucas was aiming for the stars with this new take on the saga, however he never even took off and he failed to meet fan expectation for the most part. Amazingly though there are some positives to this film that will always be remembered and rightly so. ",-0.16421356421356423,0.6322510822510822
1875,I think that the only bad thing about the Phantom Menace is that Darth Maul and Qui Gon died in the same scene. I just think that Locus should've saved Maul for Episode 2 and had Dooku fight Qui Gon and Kenobi. I know that Dooku was a jedi in The Phantom Menace and fell to Dark Side between The Phantom Menace and Attack of the Clones.,-0.21249999999999997,0.5479166666666666
3550,"The graphics were fantastic. I found the characters to be boring and uneventful. I think that there was no Han Solo or Luke Skywalker. No romance, or story plot that made you feel for any of the characters. I've seen the other movies a few times but I doubt I would see this again. Nothing to make you want to care.",-0.23125,0.59375
2275,"From the goofy and rubber mouthed Jar Jar to the inane and hollow dialog, this movie stinks.  Everything in it feels tacked on from the previous 'Star Wars' movies.  Many of the creatures are CG animations and they all feel out of place.  The interaction between the real-life actors and the animated creatures looks fake.  It's incredibly embarrassing.  And just about every scene contains the hyper annoying Jar Jar Binks.  He really ruins every scene he's in.  It's ""Meesaa!""  this and ""Meesaa!"" that.  He trips over everything and makes the whole film unpleasant to watch.  And why does every alien have an earth-type accent?  It makes absolutely no sense at all. ",-0.10008012820512821,0.6320512820512822
3929,"Boring.  All they do is talk.  Jar Jar is incomprehensible.  The actors are wooden and/or terrible.  The plot is byzantine.  No characters.  Since I have to have four line to post this, let me add that the writing was amateurish, and the dialog laughable.",-0.58,0.76
1235,"I wanted to watch all the Stars Wars movies in order so I started here. Even though everyone thinks it sucked, I thought it was fun to watch. Really terrible acting, especially by the Ani. Big names distract from the movie. Jar Jar binks sucks.",-0.16666666666666666,0.43333333333333335
2318,"This film really deserved to do as badly as possible. Phantom Menace is style over substance, with a script as weak as over diluted tea.  The story is pathetic, the actors woefully miscast and the computer characters are annoying and a really bad idea -  a really bad idea.",-0.4821428571428571,0.7226190476190476
876,"Since this is the first film of the Star Wars saga, people should see it as that, and stop comparing it to the original trilogy (OT).  If you watch this film and compare it to the OT, or expect the same style of film as the OT, then you'll be disappointed.",-0.03125,0.4895833333333333
3944,"I was very disappointed in this movie.  I LOVE the first three films, seen them a million times, got the videos, watch them when they're on the tube... and this movie DOES NOT live up to their legacy.  The plot is paper thin... the characters are almost transparent... The action, such as it is, is predictable. They spent 11 minutes (might have been 13, I've forgotten, but I timed it) on the ""pod race"" which had a VERY minimal impact on the plot (what plot?), when the main point of the thing could have been handled in about 3-5 minutes.  Those other 6-8 minutes could have been used to give some substance to the characters. I'm forced to wonder if Liam made them mad?  His character was a cardboard cut-out, apparently designed to be killed for effect, so that Obi-Wan could go on alone.  Darth Maul was even more ephemeral.  He didn't even have a voice, or so it seemed.  He was apparently there to kill Liam and then be gone.  Definitely the weakest link! Yoda and the ""council"" of the Jedi Knights could have used a few minutes of air time to make us believe that they did anything other than say ""no"" to Liam (which, of course, he ignored).  Is Samuel L. Jackson scheduled to show up in future episodes? (I didn't see his name on the credits for Episode II on this site). And Jar Jar Binks???? What a waste of make-up!!!  Question... Why didn't he look anything like the rest of his people???  Why did he appear to be a cross between ""Old Weird Harold"" from the Cosby Kids and ""Roger Rabbit""? Why did we have to suffer through his never-ending babble???",-0.10085154428904429,0.4094871794871794
3443,"Compared with the original trilogy, I am disappointed with Phantom Menace. I can't believe that the same person (Lucas) that wrote and directed ep 4 also did ep 1.",-0.125,0.5416666666666666
1423,"The thing what I know about ""Star Wars Episode I: The Phantom Menace"" was that the trailer of this movie was quite amazing and surprisingly, there have been a lot of bad reviews when it first came out in theaters. Having myself going back at it and watching it again, it was actually much worse than I thought it would've been. It is terribly disappointed, sort of. ",-0.04285714285714283,0.5357142857142857
3359,"Before seeing Episode I, the critical buzz used terms like ""humorless"" and ""lack of expected foreshadowing"".  What movie did they watch?",-0.05,0.6000000000000001
14,"The first time I watched ""The Phantom Menace"", I was extremely disappointed. Why? High expectations, I think. Upon a second viewing, however, I came to appreciate this film in the cannon much more than I previously had done.",-0.0011111111111111044,0.3816666666666666
750,"Certainly must rate as the worst in the franchise. Terrible on so many fronts. Awful plot, bad characters and some of the most wooden, emotionless performances I have ever seen from some terrific actors.",-0.27619047619047615,0.6931216931216931
1155,OK so I'm gonna begin by saying it's not the worst Star Wars film.,-0.25,0.75
311,"I have to admit to being a little disappointed - not because of the hype but because it was so clearly part 1 of 3 instead of being self-contained (as Star Wars IV was) and everything was so obvious.  The only real surprise for me was the origin of the Emperor.  However, I advise all fans to stay to the very end because, once the music fades out, there is a little treat for you all which makes the hairs on the back of your neck stand up.",-0.06944444444444445,0.4703703703703704
