,Review,Polarity,Subjectivity
1789,"What can I say, its Star Wars! Its an excellent story about good versus bad. George Lucas did an excellent job. If you like sci-fi, you will love this movie. I really have nothing bad to say about this movie. Every character, every location, its just perfect!!",0.37500000000000006,0.7166666666666667
109,"Star Wars was my first non-Disney movie that I watched at the ripe old age of 8. Immediately I fell into another world, getting caught in a new mythology from a Galaxy far, far away. My siblings and I would play ""Star Wars"" in the back yard, saving the galaxy from evil. We would try to make my cousin into the ""A New Hope"" version of Princess Leia; my sister's hair was too short. My best friend at the time and I would be Jedi knights - we were 8 so it was okay to do this.",0.12024793388429753,0.5038567493112948
1946,Acting Is Superb In This Movie,0.5,0.5
1036,"I cannot recall when I saw this film for the first time but what I do remember is how captivated I was by it. I had not seen anything like it before even though I had seen most of the original Star Trek episodes. This film set the standard which other films had to try and equal, emulate and improve on and from what I have seen of the films that have been made since very few come close for the overall effect this film had on me. For me Like all great films is has no flaws it is just nothing short of breathtaking. It is over thirty years since it was made and it could have been made last week. Technology has moved on apace from 1977 but this film is more than just a series of special effects and good acting. The story is told in only two hours a fact which still amazes me when I watch it again. I know there are people out there who don't like films set in space but I suspect if you give it a chance like a friend of mine did and watch it all you may well have a change of heart as she did. Enjoy",0.24984126984126986,0.4236904761904762
696,STAR WARS EPISODE IV: A NEW HOPE is a film that I really enjoyed when I first saw it and I knew from the beginning I would love it and this was the first in a much bigger series and the fourth film in the STAR WARS franchise overall (in chronological order).,0.1818181818181818,0.3245791245791246
1042,"We thought wed start with at the beginning with few of the best things from Star Wars A new hope: Sand people attack, The force, Luke's first 'lightsaber', The Milenium Falcon, Han kills 'Greedo', Jabba the 'hut', Men in white plastic armour, Obi wan kenobi, Gay robots, Darth Vader 'Dark Father', The Dagobah system, ""Who's the more foolish: The fool, or the fool who follows him?"", The death star, Wookies.",0.19478114478114483,0.31346801346801345
37,"The latest TCM production entitled TCM Presents A Night at the Movies: George Lucas & The World of Fantasy Cinema, was really 2/3 about Lucas's films and it seemed that 2/3 of that was about Star Wars - but that was OK because it finally drove home to me what I have suspected for years - that George Lucas did not and does not have a clue as to what made Star Wars great. He got lucky with the first one (this film) because it was a product of its time and was what people WANTED to see in 1977 - something hopeful and fun. Remember - or maybe you are too young to remember - movies in the mid 70s were extremely cynical post Watergate and post Vietnam. This one was different and even religious in an ecumenical way. Lucas got lucky with the second one because of the director and his input. To me, all the ones that came after The Empire Strikes Back were special effects filled duds. Now back to the original.",0.1924404761904762,0.5010714285714286
730,"Star Wars: Episode IV - A New Hope is a wonderful feature. Acting is great, between spot on casting and largely convincing dialogue that delivers fulfilling character development. The emotional depth is also nicely crafted, although somewhat rushed early in the runtime, likely to move the plot forward into more intense moments. Despite this mistake and other plot holes, the story is still well written and largely intriguing for the audience. Comedy also thrives due to the chemistry the cast has. Visually the film excels, aided by a great score that promotes the adventurous yet also fear inducing tone created. The resolution is too quite satisfying, even if it feels slightly predictable. Overall, a truly great feature that began such a rightfully beloved saga.",0.3037549407114625,0.6175889328063241
903,"Modern commercial science fiction begins here. We all know the cast of characters well.One of the most perfect story arcs regarding the journey of the hero exploded on to the cultural landscape spectacularly. This wasn't just a movie it was myth created before our very eyes. Certainly one of those moments when art, commercial entertainment and the general public come into perfect symmetry. A masterpiece.",0.32202380952380955,0.4365079365079365
1733,"When I first saw Star Wars I truly realized I was watching one of the greatest films of all time. The twinkle in my lifeful eye and the giddish smile on my face could only fortell my amazement for this film. ""A true masterpiece"" is all that can be said for this timeless classic.",0.3444444444444444,0.5416666666666666
