,Review,Polarity,Subjectivity
1016,Probably the best best movie in the Star Wars series so far. The pieces all comes in to place as Darth Wader reveals his true identity as Luke's father and for the first time Luke acts like a man more than a boy scout.,0.5333333333333333,0.513888888888889
501,"This movie is probably the reason why so many people devoted their lives to worshiping the saga George Lucas had started three years earlier. Here the adventure continues, but with a twist - after having the basic characters thrown in the first one, here we get a souping-up, and everything and every one is multiplied by 100. The result is the best movie in the Star Wars saga. Here we have some rawness typical of A New Hope, and we still don't have the excesses of Return of the Jedi. The result is a brutally touching movie, where its characters are the main theme and not the battles or the special effects. Magnificent work by everyone involved, the movie is a triumph, and one of the best movies ever. John Williams also suceeds to beat his own work, and present us with a richly crafted score.",0.3812337662337662,0.47784271284271285
671,"Nothing to say. Just... i love Star Wars.
That's enough.",0.25,0.55
360,"New characters (Lando Calrissian, Yoda, Boba Fett, etc.), terrific action and battle scenes, and a coherent story make this film a worthy follow-up to Star Wars. Most of the movie focuses on Luke Skywalker receiving Jedi training from the ultra-cute Yoda. The AT-AT battle scenes are good, and Han Solo steals the Millenium Falcon. ",0.3242424242424242,0.6220779220779222
1148,"This is my number one movie of all time. It has a critical and personal touch to my heart. The Best Star Wars movie ever is also the Best Movie ever!! Right from the visuals, dialog and pace. Has anybody said that this installment (of the previous trilogy) has the best sound a picture quality? Someone was doing something right when they filmed this. Darth Vader has never looked better in a menacing way (I have not seen Revenge Of The Sith so I am not sure). Pay attention to the scenes when he is looking out to the stars for a hint of Luke. Man, I can keep going for hours on this one! The Hoth scenes were so goddamn priceless. Those Imperial Walkers scared the crap out of me when I was a kid. The Special Edition was a tough call, but I do have to say of all the last trilogy, this one had the best restoration. If you can, see the original cut of this, it was the way it was meant to be seen, with no tampering! Every time I tell people that ""Empire"" is my favorite Star Wars movie, they just look at me with disbelief and say ""... but Return Of The Jedi had a lot more action scenes..."" I cringe.",0.26042117604617604,0.5431096681096682
1210,"The Empire Strikes Back is, simply put, the best movie ever made. Who among us was not stunned the first time we heard Darth Vader's revelation to Luke? For all intent and purpose Darth Vader was just a robotic villian in A New Hope. Now he was a suffering man underneath that armor, one who just happened to be the father of the protagonist. This movie deepened the Star Wars saga in other ways. It introduced us to the Buddhist aspects of the Force through Yoda. Lando Calrissian was a smuggler with more intrigue than Han Solo in my opinion. Too bad his character was not further developed in Return of the Jedi. The visuals of Cloud City, with its pink and purple sky and dome shaped buildings, opened up the imaginations of so many children. We also got our first glimpse of Emperor Palpatine, although he was not yet truly brought to life until Ian McDiarmid played him three years later. Perhaps one of the finest scenes is Luke's journey into his dark unconscious via the cave on Dagobah. Of course, I cannot forget to mention the epic Hoth battle with the Imperial Walkers or the chase through the asteroid field. There is not a weak or unnecessary second in this movie.",0.07244318181818184,0.3722510822510823
477,"It's rather rare that a sequel is better than the original but with this one it's definitely the case and certainly most of all, this was the best one of all them. Why? Dunno why but the majority of the film is build around the evil of Darth Vader and his empire (more than once you will think of Third Reich-resemblances). The story itself is rather thin (in fact there is none as it feels like you're watching some episode, the movie doesn't even has an ending) but all the characters that made Star Wars such an immortal saga are back, and how... If you only watch a limit amount of movies in your life this one must be included...",0.13653846153846153,0.5615384615384614
525,"Proof that if George Lucas wants his intellectual property to grow and flourish, he should lay the ground work and then take a step back and let it develop on its own. This is evident in the leap in story depth and character development from A New Hope to Empire Strikes Back. Maybe he should have let someone else take over screenplay writing and directing after Phantom Menace. This film really does get deeper into the characters and is definitely the best film in the first trilogy. Sets are extraordinary and Billy Dee Williams as Lando Calrissian (aka the only black guy in George Lucas's universe) was excellent. They ended the film in a perfect place making the audience crave to know what happens next. The film gives us a chance to grow even more with the characters from A New Hope and has a massive reveal toward the end (at least to those that saw it in the 80s).",0.25901875901875904,0.4917027417027418
229,"The best movie in the Star Wars saga so far, one of the best movies ever. Improved soundtrack, more interesting story, better special effects, and a fantastic casting. Highly recommend.",0.501904761904762,0.567936507936508
1344,"While most would consider this tame by today's standards Chapter 5 of this saga had menacing overtones, a huge twist reveal, and a not so happy ending. To me this set the tone for sci-fi movies to push the envelope not only for special effects but story structure and resolve.",0.12006802721088437,0.7411564625850341
125,"Though the intrepid three heroes of Star Wars destroyed the Death Star commanded by Darth Vader, the rebel army is still on the run. They've taken refuge in a frozen planet called Hoth much like George Washington and the Continental Army at Valley Forge. In the meantime the Empire still searches for the rebel army in The Empire Strikes Back.",0.1,0.1
794,The Empire Strikes Back is a large improvement over the original Star Wars in terms of drama and suspense. The special effects are more consistent and more impressive (but this is because of the obviously larger budget).,0.3551587301587301,0.5
