,Review,Polarity,Subjectivity
1704,"Having been a huge Star Wars fan since a child, I was thrilled when Phantom Menace came out.  I saw it 4 times in the theater and loved it just the same.  But with Episode II almost in theaters, I feel a need to defend Episode I.  It was very different from the original trilogy with a variety of new elements.  Episode I showed children for the first time in the entire series, something I don't think many fans realized.  Jake Lloyd did the best he could with the character that was meant to act like goofy kid and not a lifeless slave.  Yes, the midiclorian-thing is rubbish and Jar Jar is the worst thing to ever happen in the series, but if you look past that, you'll see that Phantom Menace was a pretty good movie.  I think hype is what killed it.  I've noticed the hype around Ep. II is pretty subdued compared to Ep. I, and that's a good thing.  ",0.25849282296650716,0.6167304625199361
2926,"I enjoyed it (heh, I saw the 1st one 6 times in 1977 when I was in 6th grade!), and look forward to seeing the next Eps., but I don't think this one lived up to either its hype or its potential.",0.20833333333333334,0.5666666666666667
931,"Having grown up in the generation of the original Star Wars, and having spent my Summer in the movies watching the first Star Wars installment, upon finally seeing The Phatom Menace, I was scratching my head. This wasn't the Star Wars I fell in love with. In fact there's not much to love about this film. The ""story line"" is so convoluted and confusing, and the characters come and go so fast you can't figure out who they are. Lucas should have spent more time on creating an interesting story line worthy of Star Wars instead of relying on so many special effects (I felt like I was in a pinball machine with all the bright colors and glaring sounds) and bizarre costumes to distract us from the threadbare script. I started to watch this installment in hopes of watching ""Revenge of the Sith"" but now I have no intentions of seeing it.",0.2415922619047619,0.559672619047619
1939,"the plot is rather good and so is the direction some scenes feeling very epic but i think its the lame characters and acting that let this film down, none of the characters have the charisma of Han solo or Darth Vader, but that was not the main problem it was jar-jar he is the most annoying creation ever and should burn in the fiery pits of hell for all eternity . another thing is that i didn't feel exited like i did with the old movies it wasn't the plot that was pretty good but it was the actors all but Liam neeson (qui-gon)seemed out of place and to uncomfortable in there roles which is a big let down because all the actors from the old films seemed so alive and involved (it probably is because its mostly done on blue screen). ",0.06308641975308642,0.4600617283950617
2746,"Thank you, George Lucas, you did a great movie!!! I've never seen such excellent special effects before, and also the story is really great. These were two hours I'll remember my entire live.",0.4705009276437848,0.6709183673469388
1903,"This movie is impeccable.  I love the plot, main characters, music, CG....Everything is great in this movie.  It's worth watching and it was definitely worth waiting for...",0.4694444444444444,0.43888888888888894
1913,"Hands up anyone who thinks that George Lucas should be shot for ruining a great series of films. Okay, so he did direct Episode IV which is in many peoples views one of the greatest films ever, fair enough, but that doesn't excuse him from the travesty he has now created. ",0.4437500000000001,0.575
1453,"Sure, we all have our opinions but I give better ones.  I really enjoyed Episode I because of a great plot, good characters, and very well done special effects.",0.5081632653061224,0.6157596371882086
3476,"When I learned that George Lucas was going to make Episode I in 1997, I was ecstatic.  I knew that 1999 was going to be a long wait, but a worth-while one.  In January, I kept a running tally of how many days till the movie opened (starting at 125) and slowly watched as the number got smaller and smaller.  Well, last night I went to the movie after watching the original trilogy and spending the whole day (besides taking a final -- I'm in college) preparing for the movie.  I thought it was fantastic!  Wait - it was awesome.  When the movie was over I was almost in tears because I realized that I was going to have to wait another 3 years to see the next chapter.  There was no ""bad"" aspect about the movie.  The story, acting, pace, visual effects, dialogue -- they were all ""Star Wars"" caliber. After seeing it, I have no problem raking the movie as ""Star Wars.""",0.16093749999999998,0.4489583333333334
2377,This is less a review of The Phantom Menace and more a review of George Lucas.,0.16666666666666669,0.2833333333333333
1761,All Lucas ever wanted to do is tell a good story and use every facility within his disposal to do so.,0.7,0.6000000000000001
3731,I thought the movie Star Wars Episode 1 was just as good as the original ones.  I loved all of the new characters.  I think that all of the different creatures add a lot to the movie.  It keeps it from getting boring.  The plot was a good one.  The force was sent to save life as in the original ones.  So it sticks to the first ones well.  I can't wait until the next one comes out!,0.22363636363636363,0.5887878787878787
3678,"I was thrilled to finally see The Phantom Menace.  I think Jar Jar Binks and Anakin Skywalker received a little too much screen time for my tastes, and their respective ""cute"" type humor could have been toned down. (Kids will probably enjoy it though.)",0.16961805555555556,0.5361111111111112
375,The first Star Wars movie in the timeline. Obi Wan first encounters a young Anakin Skywalker working as a slave in Tatooine.,0.1,0.3041666666666667
2051,"I'm sure you've heard all the negative aspects said about this movie, so I won't bore you by going into depth about them(well maybe just a little depth). All in all, its was a GOOD film. Not great, but good. I don't care how much CGI you pack into a movie, or how engrossing the images may be; I want better dialogue. The story was adequate for what Lucas set out to accomplish, but there were many scenes that seem to be just thrown in there to show off the computer images. THEY DIDN'T SERVE THE PLOT AND THAT IS MY MAJOR GRIPE ABOUT THIS FILM. Don't try to dazzle me with images. Make my want to see it again by telling a story that is hard to forget with interesting dialogue and compelling characters. The casting was dead on; you couldn't ask for a better queen or a little Skywalker. The Jedi Knights, Qui Gon and Obi Wan were great also........but some of the things they have to say are sometimes laughable. I love Star Wars movies; I really do. I just wanted more, and the hype that surrounds this movie will only prove to hinder its success. Episode II will be better; George Lucas has given us a taste of what's to come, and if he can develop an engrossing story with truly satisfying revelations, EVERYONE will love it, guaranteed. Just look at ""The Empire Strikes Back"". Oh yes, the future of the Star Wars movies looks very bright indeed.",0.2557323232323232,0.5345117845117845
734,"George Lucas certainly deserves credit for changing the way movies look, but it seems he's forgotten some things as a storyteller.  The original STAR WARS, as you may remember, was culled together from a whole bunch of sources; people today keep trumpeting Joseph Campbell as the primary influence, but let's not forget Flash Gordon serials, Kurosawa films(particularly THE HIDDEN FORTRESS), and THE THIEF OF BAGHDAD), not to mention the science fiction/fantasy novels like the FOUNDATION trilogy and THE LORD OF THE RINGS trilogy.  I had some problems with the first STAR WARS, but its grab bag of influences helped lend it an air of unprententiousness that was cheering.  And, of course, when things got too leaden, there was Harrison Ford as Han Solo to lighten things up.",0.15323129251700682,0.4506802721088436
1484,"Here it is, folks, the setup for ""Luke, I am your Father"" It was great to have at least a few familiar characters, (although I definatly miss Han Solo, Luke and Princess Leia) The Lightsaber battles here were the most intense yet! And Anikan working with R2D2 to save the world, just like his son, Luke. boy, That Brings back Memories. I wonder if James Earl jones will be alive to Play Anikan when he actually becomes Darth Vader.",0.16944444444444445,0.4166666666666667
2702,"I agree to most critics in this page, and would just like to make one thing clear about the people who thought The Phantom Menace was better than the three earlier films. I can guarantee that one of the best films they´ve ever seen, is Men in Black.",0.32222222222222224,0.43611111111111106
687,"I'll admit, the first time I saw the ads for this movie, I was hooked. I thought it was going to be off the wall, particularly since I was, well, eleven years old and I liked anything in movies which was flashy. And at that age, I loved the film when I went to watch it. It was fun, fast, and fantastic. Explosions, lasers, spaceships, what else could a kid ask for? Then I grew up. I watched the movie again when I was seventeen, and all I could do was gape in horror. I could have sworn I saw a different movie as a child, but going back through it, I couldn't believe that I had liked it so much. It really reminds me as to how my tastes have changed and how what I look for in a movie has changed. As an addition to the Star Wars saga, I didn't begrudge it at the time simply because it was, well, another chapter in the Star Wars saga. I loved watching one of my favorite film franchises play out on the big screen. But frankly, in retrospect, I think (right now at 20 years old) it should have been avoided entirely.",0.2301190476190476,0.4942261904761905
2020,"Contrary to what all the naysayers and 'Legions of People Who Hate Anything Popular' say, this movie is really very very good.  Jar Jar Binks is not nearly as omnipresent and annoying as some people make him out to be.  The Jedi sequences are all very well done, with the Jedi themselves displaying a nice range of Force Abilities that people who have played the Star Wars RolePlaying Game or even Jedi Knight: Dark Forces II will greatly appreciate.  I do not understand, however, the people whose main complaint seems to be that it was not dark enough.  Come on people, even Empire at its darkest never had any of the graphic violence you seem to be clamoring for.",0.05677777777777775,0.570888888888889
1735,Just saw it again and it works even better the second and third time around. Don't listen to critics they're just blocked artists.  Episode One stands on its own and works just as well as Episodes 4-6.,0.275,0.375
3483,"After attending the midnight showing of ""Star Wars: Episode I"" this past night, I must admit that I do not understand where the critics are drawing their reviews from.  ""Episode I"" is a fantastic movie, which will reward fans and newcomers alike, and excels in the most important aspect of such a film: moviemaking.  Absolutely breathtaking - the first time you see Coruscant at night or the cities of the Gungans, you'll just say, ""Wow."" The climax is one of the most amazing moments in movies I have ever seen, with FOUR different good vs. evil situations taking place at THE SAME TIME. Kind of like the Endor battle scenes, but on crack.",0.25333333333333335,0.673888888888889
3580,"It's Star Wars....expectations are high for the people who grew up with the first Trilogy.  Let downs were a plenty after seeing the movie the first time.  Jar-Jar is annoying as can be and detracts away from the dialog and surroundings of the other characters.  Darth Maul's screen time was considerably short lived and should have been implemented more with the Jedis.  The visual effects overwhelmed them movie completely and makes you wonder if those are even real actors on the screen and not just computer generated ones.  The dialog was that of a cheap porn flick (well, they all are I guess) and needs to be worked on the second time around in Episode II. Viewing one is over...",0.07791666666666666,0.39013888888888887
3383,"I don't get it.  I just don't. How can so many people compare The Phantom Menace and A new Hope and think A New Hope was actually better??  How can so many people tell me that TPN's plot is thin and that A New Hope's is great?? Come on people, some courageous boy (a knight) and his buddy try to save a princess!! A princess, of all people! Could have been someone's sister or cousin, but it was a princess!! Is that Super Mario Bros enough for you?? Sure, TPM's plot wasn't great if you consider it alone, but that's the thing though, it's engulfed in all the movies. Episode 4's script was reinforced by Episode 5's and 6's.  Now, Episode 1's will be by 2, 3, 4, 5 and 6.",0.34520202020202023,0.6057659932659933
1194,"I never really got a chance to watch the original star wars movie at the cinema due to the fact that I was not born, however this did not stop me from enjoying them first on VHS and then on DVD.",0.18,0.45166666666666666
1504,"Having read the opening review on the page, it seems once again that the over the hill Star Wars fans, the ones who have the original trilogy committed to their hearts want to spend more time bashing Phantom Menace. While it is true that this is not the classic the trilogy was, it still deserves more than the shallow whining about Jar Jar, the complaints about the repetition of the story or certain scenes and the fact that the film was not Gone with the Wind.",0.2532312925170068,0.5197278911564626
252,"May contain spoilers. ""Toy campaign"" You are a sad excuse for a movie critic and/or a Star Wars fan if you think that Lucas made Episode 1 for pieces of plastic. You don't spend years creating your vision for everyone to see to sell some plastic. George Lucas created a multitude of worlds and species for anyone who wants to see the future of special effects while creating a story that touches the imagination. This is a great beginning and will be treasure for generations to come; just like the origonal three have.  A message for you hypocritical gen Xers find your imagenation and this movie will seem great.",0.22959183673469388,0.47806122448979593
3447,"Ewan McGregor's performance (and Ian McDiarmid's) are the real highlights. I could've done without Jar Jar Binks & co.  Awesome effects, a little light on the writing but definitely a promising opener to #s 2 and 3.  I voted a 7 for it - I liked it.  The pre-release reviews I read were all a bit harsh - although I will say that Anakin has some dreadful dialogue.  But as a whole, as a piece, it works, it was fun, I had a great time.  Especially when Ewan was on!  Here's to the beginning....",0.19270833333333334,0.6541666666666667
2623,I enjoyed sitting in the theatre and playing cards for an hour while waiting to see the movie almost as much as watching the movie itself.   Not a good sign.,0.11666666666666665,0.5
1988,"""SW:TPM"" rivals the first flick as my fav- (though the OVER-abundance of whimsical characters makes me almost yetch). And Jar-Jar gets tired. One sequence that has NOT been ballyhooed is tremendous (and...wet). The young Anakin is a bit too young- the kid is barely in the ""kid"" age. Young Anakin (Jake Lloyd) is fun to see, but he's too young for a lot of this. There's Natalie Portman as Queen Amidala- she's too weak at times. I had noticed this in the trailers. She simply does not engage my allegiance to fight for her to the death. She does pull off much of the flic though.",0.019871794871794874,0.431959706959707
1670,These are three adjectives to describe my feelings after seeing The Phantom Menace the first time.  It is a magnificent film rife with sfx that are unbelievable.  Its plot is solid and it leaves the viewer craving more.,0.3,0.5866666666666667
