,Review,Polarity,Subjectivity
2334,"After realizing that the first movie of the star wars prequel trilogy was a sheer menace , I cautiously move forward to the next film.",0.08333333333333333,0.3611111111111111
1524,"Who would have thought that Star Wars, one of the most thrilling, dynamic series ever created, would become formulaic; well, it's happened. Around twenty years ago, Star Wars was a series with something for everyone: drama, action, romance; with themes encompassing love, friendship, and family. Now George Lucas is milking that reputation by revamping the original scripts. Not to spoil anything, but the film moves at the same pace as ""The Empire Strikes Back"" and has a disgustingly similar conclusion. This occurred with Episode I as well, but in addition the rewritten plot, Episode II features a weak script and poor acting. The obvious hole is generated by the absence of Liam Neeson, whose performance was exemplary in Episode I and whose acting skill seemed to inspire good performances from young stars Ewan McGregor and Natalie Portman. Now Neeson-less, McGregor and Portman seem rather dry. Portman, whose career has interested me since ""Heat"", turns in her first big lemon. With respect to Portman, I blame this partially on her co-star Hayden Christensen, whose pseudo-sensitive/romantic approach to the role of Anakin Skywalker, comes off as a non-descript monotone with a complete lack of emotion and he seems to drain feeling from every scene. Luckily, the floundering leads have help. Christopher Lee, Samuel L. Jackson, and Yoda (voiced by Frank Oz) steal every scene they're in, while the rest of the characters stagger around with poor lines and bad acting until the climactic battle. Whereas `The Empire Strikes Back' was thematically (though not ultimately) the best of the original trilogy, `Attack of the Clones' can hope nothing more than to span the gap between Episode I and III, and let us hope that this will be the low point of the series. 3 out of 10 stars.",0.09644607843137257,0.3985294117647059
1642,"First of all, I am NOT a Star Wars fan of any kind. I went to see this just waiting for something entertaining mindless junk like Pirates Of The Caribbean, not Kurosawa, Sergio Leone, or Krzysztof Kieslowski picture. And boy it really was a mindless junk but far far from entertaining.",0.2055555555555556,0.737037037037037
2011,"STAR WARS: EPISODE II - ATTACK OF THE CLONES is a decent movie. I have a great admiration for the original STAR WARS trilogy, so obviously I went to see this new installment.  I left the theater happy, but a bit disappointed. Let me divide what I liked and what I disliked about the film:",0.19280303030303034,0.6271212121212121
3068,"Star Wars is back! And it's penultimate release is among the series' best so far. Attack of the Clones is an ideal star wars movie. Has great special effects, great story, great music, awesome action sequences and a love story. Well, what can i say, the force is strong in this one!",0.5749007936507936,0.6295634920634919
1220,"I think that George Lucas is back in the group after spending 2.5 years filming Star Wars: Episode II- Attack of the Clones. The movie was so good that I can't wait until 2005 when Episode III comes out. Last night, I was so excited to see all of the characters from Episode I come back to the big screen. That included: Anikan Skywalker, Obi-Wan-Kenobi, Queen Amadila, Mace Windu, Yoda, R2-D2, C3P0, Jar-Jar Binks.",0.17916666666666667,0.2527777777777778
1068,"Following the disappointing Phantom Menace should have made this an easy assignment, but George actually succeeds in making things worse. The Tatooine sequence has some good moments, Lee is fantastic and McGregor tries valiantly, but the dialogue makes talented actors look incompetent. It's now cool to like Christensen in 2021 ahead of the Disney+ Obi Wan Kenobi series, but his performance here remains very ordinary. 6/10.",0.10064102564102566,0.5346153846153847
2271,"This takes quite some time to get going, with a lot of dialogue scenes punctuated occasionally with action.",0.05,0.1125
1879,"Ok, I just left the midnight screening of ""Attack of the Clones,"" and all I can say is WOW!  This movie was absolutely gorgeous.  Hayden Christiansen was a brilliant Anakin Skywalker, Ewan McGregor was great as usual and Yoda... well, see the movie yourself and giggle like a giddy school girl at Yoda.  Now, I am one of the few defenders of the Phantom Menace.  I think it was lighter than the other films because Lucas was trying to portray a much more peaceful time in the galaxy.  Yes, Jake ""Mannequin Skywalker"" Lloyd was not the greatest actor and yes, Jar Jar Binks brought out the dark side in us all.  But one thing I think happened was just what I said would happen. Phantom makes a lot more sense now!  Now we know that Jar Jar was there for a reason: (spoiler alert) To bring down the Republic!  The master plan of Darth Sidious is much more clear now, Anakin's path to the dark side has become more evident, and the birth of the Empire is imminent.  I think I can slip my Episode 1 dvd in now and breathe a sigh of relief, knowing that Lucas, the emperor himself, has everything mapped out and everything is going according to plan.  So I urge everyone to see Attack of the Clones and if you didn't like Phantom, go back and watch it again after seeing this great movie.  Maybe you'll smile, shake your head and say, ""Ok, I get it now.""  Well done Mr. Lucas.  Well done.",0.2612222222222222,0.49788888888888894
1673,"Funny how this film grows on you with repeated viewing ... I just watched it for the third time and thought it was better than the first two times I saw it.  Being a die-hard fan of the original Star Wars trilogy, I did not really expect to love AOTC but I have come to appreciate that it does have some merits.",0.25357142857142856,0.48333333333333334
167,"Follow-up to The Phantom Menace is set years in the future where Anakin Skywalker has become an accomplished, but at times defiant young Jedi apprentice. He's burdened with conflicting emotions for his duty and obligation to the Jedi, his forbidden feelings for Senator Amidala, and his frustrating concern that he's being held back by his mentor. Meanwhile, Jedi Master Obi-Wan Kenobi travels across the galaxy where he discovers construction of a secret, unauthorized clone army. The story is much more intriguing and has much more depth than Episode One, but it too often drags and suffers from uninspired performances. As always, the special effects are a real treat, especially a new and improved Yoda. **½",0.037847866419294995,0.53610853432282
179,"It is better than ""Episode I"", but still nothing special. Typical Hollywood action with background romance, just in space instead of America.",0.19761904761904764,0.41785714285714287
1990,I'll be brief as those of you reading through the reviews would have already read the plot synopsis many times prior to my review.,0.16666666666666666,0.27777777777777773
3047,"Attack of the clones was awesome in many respects. If your expecting something similar to the Pandering menace, I think you will be pleasantly surprised. The special effects were amazing (as expected). The best thing about this movie was the return of the plot. I don't want to give anything away; I'll just say go see it you will be happy you did. Best thing about the movie: Watching Yoda get down with the light saber, and Jar Jar's limited role this time around, although I was hoping for him to be eaten or killed.",0.3735827664399093,0.5287981859410431
3262,"If you loved The Phantom Menace, this is nothing for you. The Phantom Menace was a kid's adventure movie, this is a dark story of passion and pure evil. Anakin Skywalker is now a grown-up, and he is well on his way to embrace the dark side. The love-story between Anakin and Padme is central to the story, the rest is merely essential to tie this trilogy to part IV-VI. It's a great adventure movie, and I really recommend it!",0.07380952380952381,0.5111111111111112
1760,Very good come back from George Lucas and very expected. The actors are very good and the music also. The film explains the rest and I hope it will continue. Very good movie that I saw. The actors are the key for the movie because without them the movie wouldn't work. Thank you again for the superb movie.,0.5142857142857142,0.6942857142857145
1160,"I just saw Attack of the Clones. I was impressed at how much better the visual effects were in this one than in Episode I. The Best scene is the chase scene. I will not give away anymore. The movie was just visually amazing. The movie did have its problems. Anakin was a whiny asshole in that movie. He was not the cute talented little boy anymore, he was a whiner. Hayden Christiansen really did not portray the role very well. I hope he is better in Episode III. Count Dooku was not a very scary villain. He was not the horrifying Darth Maul in Episode I.",0.3311390532544379,0.6053254437869823
270,"the star wars saga continues, and most pissy fans who still wont grow up and accept the fact that these movies are being made and missing out on one of 2002's funnest movies. A couple of things in the first hour that make you say ""wait a minute, there aren't diner scenes in star wars movies"" and stuff like that but then the last hour overstuffs you with eye candy. good fun.",0.25833333333333336,0.2916666666666667
1358,"Boy, is the dialogue bad! Aswell as some of the acting. But the great Samuel L. Jackson is good. And the scene in the arena is breathtakingly awesome. But at times the film drags and it feels as if Lucas thought up of some special effects before the script. And that title is pathetic. All n' all a mediocre film.",0.06026785714285718,0.6985119047619047
2789,"And I this is enough of grating reason to take away the full and captivating experience of the Star Wars legends. Personally I feel that the main heroes villains should be free from preconceptual baggage and be relatively unknown but very promising actors. Not always possible I know, but Lucas obviously did settle for stars that were at the time, much in fashion.",0.1615151515151515,0.5848484848484848
821,"I don't understand how even the most ardent Star Wars fan can watch this. To start off with, it is even worse than the Phantom menace, the acting is appalling, the chemistry between Padme and Anakin is non-existent. Even Ewan McGregor (who is normally fantastic) gives a very sub-par performance. Granted, the original Star Wars trilogy didn't exactly have a stellar script, but at least you didn't cringe. Plus, the performances in the old ones (considering they are action films) is actually decent. The problem with these new films is the lack of a Han Solo or Chewbacca character (Jar Jar Binks doesn't count). Alas, people will watch it (or will have to) in order to understand the third one. Although exactly what the plot was in this one is beyond me, nothing actually happened.",0.07100168350168351,0.42340067340067333
