,Review_Date,Author,Rating,Review_Title,Review,Review_Url
0,11 December 2015,Movie_Muse_Reviews,7," Great scale, action and mystery squares off with bad romance and dialogue
","And now, the Darth Vader origin story really begins. In fact, ""Star Wars Episode II: Attack of the Clones"" sort of renders its predecessor useless. ""Episode I"" feels like a mostly unnecessary part of the story now that ""Episode II"" gives a better glimpse into the troubled young man Anakin Skywalker – the future Darth Vader – has become. ",/review/rw4019444/?ref_=tt_urv
1,2 December 2015,jaredpahl,9," Underrated Star Wars Adventure, Full of Intrigue, Drama, and Jaw-Dropping Fun
","Much like its predecessor, Star Wars - Episode II: Attack of the Clones has gained a rather sour reputation on the internet. Fortunately, many of the popular complaints about this film are either highly exaggerated or downright wrong. Chapter two of the Star Wars Saga is an energized and highly enjoyable two hours at the movies.",/review/rw4019444/?ref_=tt_urv
2,25 April 2022,poseyfan,9," The most underrated Star Wars movie
","Let me start off by saying that i don't enjoy the love scenes between Anakin and padme, BUT... Anakin is supposed to be awkward socially. So i guess it's realistic?",/review/rw4019444/?ref_=tt_urv
3,16 April 2022,D4V1D2411,5," The finale saves the film
","I found most of the film to be boring, the interactions between Pádme and Anakin feel very weird and unconfortable, the cgI looks really bad in this one and the mistery that Obi Wan tries to solve is uninteresting. More than half of the movie is boring because of this problems but they are solved in the third act, which happends to be actually interesting and exciting. Also I actually liked the politics in this movie, you can understand them more easily and they actually have really strong consequences. Still, not the worst Star Wars movie.",/review/rw4019444/?ref_=tt_urv
4,6 April 2021,aheaven2005,9," One of the best Star Wars movies
","So many great moments in this one. Epic battles, strong Jedi, two large armies and even a love story. When I finished watching this one tonight I felt like it was one of my favourite Star Wars, but aren't them all?",/review/rw4019444/?ref_=tt_urv
5,28 November 2005,lawnboy1977,8," Looking back this episode is much better
","This episode of the Star wars saga was criticized by some when it came out for having wooden dialogue and too much digital landscaping to be any good. I wasn't overly impressed with it myself, but having seen all 6 films now, AOTC is actually a very important and well done section of the overall series.",/review/rw4019444/?ref_=tt_urv
6,20 May 2005,JTurner82,4," ""Begun, the Clone War has....""
","It seems as though there is no way to dispel negative atmosphere once it has been started. George Lucas's STAR WARS trilogy was well-loved by audiences (even though critics were split) but for some reason (and I can't figure it out), the first entry in the prequels, THE PHANTOM MENACE, earned a HUGE onslaught of critically divided posts just about everywhere in the world, from the press to the internet to fans in real life. While I do agree that the original trilogy is a tough act to follow, I wasn't as grossly let down by this movie as some were.",/review/rw4019444/?ref_=tt_urv
7,26 December 2015,caseynicholson,8," A Terrific Addition to the Franchise
","I'm going back and watching all six Star Wars films so I can go see ""The Force Awakens"", and last night I watched ""Episode II: Attack of the Clones"".",/review/rw4019444/?ref_=tt_urv
8,1 November 2009,TheLittleSongbird,6," The weakest Star Wars movie, but not a total disaster
","I do agree that this is the weakest of the six Star Wars movies, but it wasn't by all means a terrible movie. I will admit the dialogue is weak and gets nowhere at times, the plot isn't as well thought out and felt convoluted at best, Haydn Christensen does give a truly abysmal performance as Anakin and although the presence of Jar Jar Binks was toned down here his presence anywhere seemed jarring. Still despite the major flaws, it is a marvel to look at with stunning sets and impeccable CGI. The battle sequences are well choreographed, the pace is somewhat brisker than in Phantom Menace and the performances with the exception of Christensen are very good.",/review/rw4019444/?ref_=tt_urv
9,26 March 2003,sixpack-3,10," I loved it and I think it's getting too much criticism
","I happen to be one of the folks who really has enjoyed these films in the prequel trilogy.  I also can see why people would not like the films and I don't deny people the right to their opinion.  What has been bothering me has been some of the reasons people are giving for hating these new films... they are childish, they have too many special-effects, the acting is bad, the writing is bad, Lucas has sold out and has lost his touch... it makes me wonder if people are actually remembering the original trilogy correctly. Don't get me wrong, I love the original trilogy, but they weren't exactly well-acted or well-written movies.  We didn't love them because they were these great Shakespearian works of art; we loved them because we were little kids totally enraptured by this exciting fantastical world.  It seems that those same kids that loved the films 20 years ago have grown up into stuffy old yuppies that have no idea how to have fun anymore.  Our generation has grown up and it seems that we wanted Star Wars to grow up with us, to morph into some new R-rated grown up version to satisfy our more mature needs. Well, we didn't like the original trilogy because it was all grown up and serious.  We liked it because it was silly and fun and awesome to look at. I am personally glad that George Lucas did not make the prequels into a new grown up version.  I like the adventure and excitement and I challenge the one major complaint that says that they do not live up to the originals. Let's look at what people have complained about when comparing these to the original trilogy.",/review/rw4019444/?ref_=tt_urv
10,19 June 2015,danielloe,9," Slow at times, but the story and action make up for the flaws
","*WARNING MAY CONTAIN SPOILERS* If you remember, I was one of the few who did not hate The Phantom Menace, in fact, I gave it a positive rating. If you'd like to get a different opinion on the prequels, please be sure and check that review out as well, but now, let's talk about The Attack of The Clones. This movie has a few rough spots, Hayden Christensen and Natalie Portman don't have very good chemistry together, despite both of them giving decent performances in the rest of the movie. No, Hayden Christensen isn't that bad, he's a bit wooden, but I think he plays a believable confused young man who has been isolated all his life. In fact, I think that most of the hate surrounding Christensen is less about how he plays his role, and more about what role he's playing. People don't want Vader to be a bitter and over- reacting teenager, but in the scenes where Christensen is able to show who he'll become, he's great. Besides, this is all about how Anakin becomes Vader, he can't start out as Vader in Episode II. The movie also gets heat for other stuff, too boring, too much CGI, etc. The CGI effects look great, it makes it look like a more advanced culture, by having surroundings that we can't yet physically create. Now, maybe a few practical effects wouldn't have been amiss, but I think the use of CGI is a relatively minor complaint, and one that doesn't really effect the over-all quality of the film. The plot may be slow at times, but don't forget, we have lots of action in here as well. A full scale battle at the end, a high speed chase through Courscant, a duel between Obi-Wan and Jango Fett, etc. Yes there are slow stretches, but there are also plenty of scenes that are really fun. I know Yoda fighting with a light-saber, you know, a Jedi's weapon, is supposed to be just like heresy or something, but I can't take that complaint seriously. How else would Yoda have fought? With a stick? It's not like he doesn't use the force or anything! But enough with the negatives, let's talk about why this movie is genuinely good. Ewan McGregor as Obi-Wan is great! He brings the right level of sophistication and intelligence to the character, while still managing to seem like a less experienced version of the character in A New Hope. Jango Fett is a really good villain, he brings in great action and is just over all a really cool character. I already said I like Hayden Christensen, who I think accurately displays youth, and provides a relate-able character for everyone who's ever been a teenager ever. The action is top-notch as well. The speeder chase on Courscant is a great start to the movie; humor, good effects, and very fast-paced. The finale is very well done also, and it's a blast to see the first full scale battle in a Star Wars movie (the gungans don't count). The story, thought admittedly a bit muddled, is interesting enough (let's be honest, Star Wars isn't story based, it is driven by characters and action). I understand very few will agree with this review, but I wanted to give my own opinion on the Star Wars movies, so, I started reviewing them. I'll try to have my Revenge of the Sith review up soon!",/review/rw4019444/?ref_=tt_urv
11,22 February 2005,tomimt,7," Mostly entertaining
","If you listen to some fans of the original Star Wars trilogy, the new one is crap. This is, I've found out, true only with the Phantom Menace, which was very poorly directed and edited piece of film.",/review/rw4019444/?ref_=tt_urv
12,11 December 2015,claudio_carvalho,8," Great Action, Boring Romance
","Ten years after the invasion of Naboo, the Galactic Republic is facing a Separatist movement and the former queen and now Senator Padmé Amidala (Natalie Portman) travels to Coruscant to vote on a project to create an army to help the Jedi to protect the Republic. On the arrival, she escapes from an attempt to kill her and Obi-Wan Kenobi (Ewan McGregor) and his Padawan Anakin Skywalker (Hayden Christensen) are assigned to protect her. They chase the shape-shifter Zam Wessell (Leeanna Walsman) but she is killed by a poisoned dart before revealing the identity of who hired her. The Jedi Council assigns Obi-Wan Kenobi to discover the bounty hunter that has tried to kill Amidala and Anakin to protect her in Naboo. Obi-Wan discovers that the dart is from the planet Karmino and he heads to the remote planet. He finds an army of clones that has been under production for years for the Republic and that the bounty hunter Jango Fett (Temuera Morrison) was the matrix for the clones. Meanwhile Anakin and Amidala fall in love with each other and he has nightmares with his mother. They travel to his planet Tattoine to see his mother and he discovers that she has been abducted by the evil Tusken Raiders. Anakin finds his mother dying and he kills all the Tusken tribe including the women. Obi-Wan follows Jango Fett to the planet Geonosis where he finds who is behind the Separatist movement. He transmit his discoveries to Anakin since he cannot reach the Jedi Council. Who is the leader of the Separatist movement? Will Anakin receive Obi-Wan's message? And the secret love between Anakin and Amidala will succeed?",/review/rw4019444/?ref_=tt_urv
13,16 June 2021,risbyceonna,7," Not Bad
","First off the movie had some good aspects about it. For one the relationship between Obi-Wan and Anakin was phenomenal. They were emotional and comedic at the same time. The second thing is the action. This movie was very action packed and the choreography in the fights were very good. The conflict was nice as well I just wish they didn't have as many sub-plots. I didn't like how unnecessarily long this movie was, it felt like 3 hours. Some scenes didn't need to be included and I didn't like how they made it seem as if Anakin was obsessed over Padme but other than that their romance was believable and cute. The acting was strong although sometimes it came off as bland. The beginning tried to be serious but ended up looking like a joke. The movie was pretty good overall but could've done better.",/review/rw4019444/?ref_=tt_urv
14,2 August 2020,snoozejonc,6," Some moments of inspiration but overall another wasted opportunity
","Set against the background of political conflict, Obi Wan investigates the source of an assassination attempt whilst Anakin and watches over Padme.",/review/rw4019444/?ref_=tt_urv
